Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,13-Jul-18,1294.35,1315,1331.6,1298.35,1323,1317.4,1315.39,9748079,12822503746,205562,4621538,47.41
INFY,EQ,16-Jul-18,1317.4,1317.4,1384.4,1287.7,1336,1332.85,1345.93,17672340,23785647476,357607,5265555,29.8
INFY,EQ,17-Jul-18,1332.85,1329.7,1349.5,1312.7,1327.3,1327.9,1333.08,5580845,7439721782,114793,2701704,48.41
INFY,EQ,18-Jul-18,1327.9,1339.8,1343.4,1314,1323,1322.55,1325.16,3459508,4584405277,134074,1682833,48.64
INFY,EQ,19-Jul-18,1322.55,1323,1331.9,1309.1,1315.95,1316.7,1318.01,2559432,3373347801,133339,1483151,57.95
INFY,EQ,20-Jul-18,1316.7,1326,1367.15,1321.3,1352,1348.1,1352.12,5852869,7913782037,149871,2819424,48.17
INFY,EQ,23-Jul-18,1348.1,1352.15,1368,1336.25,1351.9,1355.95,1350.21,3837851,5181886478,104002,2443216,63.66
INFY,EQ,24-Jul-18,1355.95,1374.4,1382.4,1356,1375.35,1377.15,1368.92,3086123,4224648379,104916,1877815,60.85
INFY,EQ,25-Jul-18,1377.15,1379,1393.8,1365.45,1381.15,1383.75,1383.06,3468461,4797085714,110230,1922712,55.43
INFY,EQ,26-Jul-18,1383.75,1378.55,1390.4,1369.2,1373.7,1373.25,1377.36,3681109,5070228477,139712,2424410,65.86
INFY,EQ,27-Jul-18,1373.25,1373.2,1389,1368.3,1371.2,1373.45,1377.08,3246616,4470848815,101649,2173390,66.94
INFY,EQ,30-Jul-18,1373.45,1370,1373,1348,1351,1351,1356.75,3204985,4348358645,193055,2451679,76.5
INFY,EQ,31-Jul-18,1351,1348.55,1370,1335.55,1368,1365.1,1351.3,3971998,5367357705,122270,2765105,69.61
INFY,EQ,01-Aug-18,1365.1,1363.8,1368.45,1351,1352,1354.05,1355.85,2337853,3169781273,106719,1654129,70.75
INFY,EQ,02-Aug-18,1354.05,1359.6,1366.75,1350.15,1353.4,1353.65,1357.31,2970371,4031719297,87744,2138372,71.99
INFY,EQ,03-Aug-18,1353.65,1366.2,1366.2,1356,1365.75,1364.1,1361.34,1985195,2702515816,70696,1384580,69.75
INFY,EQ,06-Aug-18,1364.1,1366.05,1375,1347.5,1364,1360.65,1358.6,3089465,4197345187,68270,2128983,68.91
INFY,EQ,07-Aug-18,1360.65,1374,1379.95,1360.65,1367,1367.95,1366.36,3675764,5022426261,100730,1600841,43.55
INFY,EQ,08-Aug-18,1367.95,1371.8,1372.5,1353.3,1362,1362.75,1362.16,1996179,2719109393,80731,1405581,70.41
INFY,EQ,09-Aug-18,1362.75,1373.65,1389.45,1373.65,1379.2,1379.95,1381.59,3204762,4427681633,134300,2092586,65.3
INFY,EQ,10-Aug-18,1379.95,1385.8,1389,1373.05,1382.25,1385.45,1380.64,2389760,3299401064,82581,1661604,69.53
INFY,EQ,13-Aug-18,1385.45,1390,1409.85,1378.7,1408,1408.75,1401.07,4989873,6991140982,138356,2323354,46.56
INFY,EQ,14-Aug-18,1408.75,1413.95,1424.55,1404,1407.45,1408.3,1414.34,3075660,4350014453,102688,1670272,54.31
INFY,EQ,16-Aug-18,1408.3,1414.95,1434.9,1411.25,1429,1429.55,1426.82,3313387,4727597210,115380,2278814,68.78
INFY,EQ,17-Aug-18,1429.55,1430.9,1437.65,1423,1426.55,1430.35,1430.85,3195204,4571856691,122779,2222525,69.56
INFY,EQ,20-Aug-18,1430.35,1388,1407.95,1373.5,1388.2,1384.25,1389.04,8050938,11183093868,249766,3747784,46.55
INFY,EQ,21-Aug-18,1384.25,1390,1396,1373.75,1386,1383.95,1381.18,4180741,5774338650,126003,2280633,54.55
INFY,EQ,23-Aug-18,1383.95,1393,1401.5,1385.35,1400,1397.4,1392.99,3858591,5374993201,180710,2737234,70.94
INFY,EQ,24-Aug-18,1397.4,1396.5,1401.9,1376.1,1379.35,1378.3,1386.47,3526500,4889394601,109805,2049349,58.11
INFY,EQ,27-Aug-18,1378.3,1383,1419.95,1381.4,1416,1415.4,1406,3506475,4930091751,132478,2245599,64.04
INFY,EQ,28-Aug-18,1415.4,1417.2,1438.4,1411.5,1425,1424.7,1427.92,3248445,4638524929,100357,1773021,54.58
INFY,EQ,29-Aug-18,1424.7,1433.6,1433.6,1405.15,1411,1410.1,1412.92,2823248,3989010655,89895,1719084,60.89
INFY,EQ,30-Aug-18,1410.1,1412.8,1421.55,1396.15,1418.1,1416.2,1411.92,5753981,8124160894,96074,4034348,70.11
INFY,EQ,31-Aug-18,1416.2,1425.1,1454.3,1421.1,1440,1441.1,1439.05,5437932,7825437138,124025,3589092,66
INFY,EQ,03-Sep-18,1441.1,1449,1467.9,1430,1436.2,1434.25,1451.3,5488164,7964966273,134643,3571594,65.08
INFY,EQ,04-Sep-18,1434.25,722,748.5,716,733,737.15,739.04,15370124,11359156599,258728,6954062,45.24
INFY,EQ,05-Sep-18,737.15,741.95,744.05,725.4,729,729.9,734.79,8658978,6362539535,202826,3839883,44.35
INFY,EQ,06-Sep-18,729.9,732.55,735.5,724.1,726,727.15,730.17,5598659,4087988682,134849,3493840,62.4
INFY,EQ,07-Sep-18,727.15,734.35,735.15,723.8,734,732.8,730.95,6510605,4758936855,190264,3810992,58.54
INFY,EQ,10-Sep-18,732.8,737.75,747,729.4,733.4,730.85,736.29,5629871,4145245236,112735,3209244,57
INFY,EQ,11-Sep-18,730.85,735.9,744.75,732,733.7,734.3,738.58,6963561,5143145756,137146,3665363,52.64
INFY,EQ,12-Sep-18,734.3,744.4,746.5,736.25,740.9,742.9,741.14,4636617,3436370099,144311,2545066,54.89
INFY,EQ,14-Sep-18,742.9,741.9,745,729.05,735,733.7,735.78,7896514,5810118483,191430,4669337,59.13
INFY,EQ,17-Sep-18,733.7,735,740,724.6,726.9,725.95,730.79,5427054,3966013456,124216,2572371,47.4
INFY,EQ,18-Sep-18,725.95,730,730,717,720,719.1,720.33,7729732,5567951789,116715,2039349,26.38
INFY,EQ,19-Sep-18,719.1,727,727,713.2,719.6,719.75,719.4,4849498,3488751299,142071,2917751,60.17
INFY,EQ,21-Sep-18,719.75,713.85,717.4,692,710,705.3,706.4,14350769,10137378694,238115,9880217,68.85
INFY,EQ,24-Sep-18,705.3,706.5,729.95,706.5,719.95,718.25,721.56,8637881,6232738763,183918,5604772,64.89
INFY,EQ,25-Sep-18,718.25,718.25,736,717,726,726.2,727.76,9602273,6988194861,223780,5283327,55.02
INFY,EQ,26-Sep-18,726.2,731.2,731.85,712,719.9,717.85,720.78,6599606,4756877824,110456,4301995,65.19
INFY,EQ,27-Sep-18,717.85,722,730.8,717.45,724.3,724.8,724.8,14592616,10576733252,147797,10485355,71.85
INFY,EQ,28-Sep-18,724.8,721,734.55,715.2,731.7,730.05,727.98,7490031,5452629800,166682,4590662,61.29
INFY,EQ,01-Oct-18,730.05,737.5,754.9,733,742.95,746.65,745.05,8252398,6148484239,160489,4483016,54.32
INFY,EQ,03-Oct-18,746.65,743.8,751.95,726.3,728.55,728.5,738.21,7792464,5752480100,184479,4931984,63.29
INFY,EQ,04-Oct-18,728.5,728.5,729.75,702.5,711,707.2,711.02,6173037,4389159561,150299,3617395,58.6
INFY,EQ,05-Oct-18,707.2,713,731.5,709.3,722.5,724.6,717.57,8543578,6130589981,141622,4727502,55.33
INFY,EQ,08-Oct-18,724.6,725.05,728.7,709.25,714.65,714.45,717.09,7259306,5205581862,244347,4344672,59.85
INFY,EQ,09-Oct-18,714.45,717.1,722.4,702.65,721,717.75,711.05,6777212,4818903577,116349,3665401,54.08
INFY,EQ,10-Oct-18,717.75,719.9,719.9,695.4,700.35,700.45,703.19,8866251,6234700033,219744,4098711,46.23
INFY,EQ,11-Oct-18,700.45,685,692.9,663.3,675.4,673.35,676.06,10985897,7427150380,285534,5910635,53.8
INFY,EQ,12-Oct-18,673.35,676.4,684.05,661.5,678.15,678.8,673.71,8909221,6002268067,214848,4229073,47.47
INFY,EQ,15-Oct-18,678.8,688.6,705,681.5,703.5,698.8,691.39,6222176,4301952211,121763,3187712,51.23
INFY,EQ,16-Oct-18,698.8,710,713.9,689.4,692,695.25,702.32,11588963,8139197321,266266,4829861,41.68
INFY,EQ,17-Oct-18,695.25,710,721.8,701.35,705.5,705.35,711.55,20360697,14487628785,280701,8842531,43.43
INFY,EQ,19-Oct-18,705.35,687,687.7,678,683.5,683.55,682.35,10421001,7110757251,245258,6658247,63.89
INFY,EQ,22-Oct-18,683.55,688.7,695.05,673.8,680.5,679.95,679.08,6672840,4531381462,118989,4592757,68.83
INFY,EQ,23-Oct-18,679.95,675.95,682,653.3,663.05,657.6,663.77,9041701,6001591448,206699,6249984,69.12
INFY,EQ,24-Oct-18,657.6,663,666.5,647.15,650,649.8,653.45,7058164,4612127164,151398,4319821,61.2
INFY,EQ,25-Oct-18,649.8,643,656.35,636.25,647.3,648.75,647.53,8270469,5355339309,196622,5315499,64.27
INFY,EQ,26-Oct-18,648.75,645.3,648.7,629.9,634.05,633.6,636.49,5464141,3477864472,111447,3187130,58.33
INFY,EQ,29-Oct-18,633.6,633.7,650.55,631.5,646.1,644.75,637.82,7137446,4552389118,123494,5228816,73.26
INFY,EQ,30-Oct-18,644.75,641.1,663.8,637.45,658.9,659.6,657.39,8793411,5780678040,148842,5764870,65.56
INFY,EQ,31-Oct-18,659.6,663.9,692.95,663.05,685.95,686.4,681.52,11947995,8142844240,223319,7659197,64.1
INFY,EQ,01-Nov-18,686.4,689.7,689.7,659.6,667,666.7,671.01,5860244,3932276784,125725,3282959,56.02
INFY,EQ,02-Nov-18,666.7,665.95,675.8,660.1,663.2,662.25,665.4,6654067,4427642405,148487,3761960,56.54
INFY,EQ,05-Nov-18,662.25,663.5,668.6,657,663.7,666,662.36,5799426,3841307501,140183,3670964,63.3
INFY,EQ,06-Nov-18,666,667.9,675,660.65,667.1,666.45,668.4,6975525,4662445094,240509,4371014,62.66
INFY,EQ,07-Nov-18,666.45,673,677.5,672,677.45,675.5,674.86,758956,512188500.7,31522,307741,40.55
INFY,EQ,09-Nov-18,675.5,679,679,655.5,658.7,659.5,661.4,9694143,6411724146,244092,7091290,73.15
INFY,EQ,12-Nov-18,659.5,666,676.4,662.3,665.05,664.2,669.82,7118080,4767832302,120785,3845132,54.02
INFY,EQ,13-Nov-18,664.2,663.5,667.75,656.3,664.45,665.7,663.83,4137808,2746782461,129103,2641999,63.85
INFY,EQ,14-Nov-18,665.7,665.7,665.7,640.5,652.4,653.2,648.72,7323026,4750599516,174358,4361316,59.56
INFY,EQ,15-Nov-18,653.2,654,666,646.7,655.65,656.4,660.71,5513390,3642738196,130605,3270275,59.32
INFY,EQ,16-Nov-18,656.4,659.9,662.5,644.2,652,650.85,649.95,8583785,5579053175,153414,5561153,64.79
INFY,EQ,19-Nov-18,650.85,659,662,649.25,651.95,651.7,652.75,6018930,3928880482,96075,4076816,67.73
INFY,EQ,20-Nov-18,651.7,651.7,656,640.1,640.6,641.4,645.31,5384830,3474899740,105300,3188270,59.21
INFY,EQ,21-Nov-18,641.4,640,640.05,612.1,619.5,619.1,618.73,14359086,8884401044,306110,7301207,50.85
INFY,EQ,22-Nov-18,619.1,622.25,628.15,616.75,620.85,620.75,623.11,6632975,4133099492,120189,3211872,48.42
INFY,EQ,26-Nov-18,620.75,621,628,599.85,621.2,621.45,613.78,15075209,9252894701,263089,8758922,58.1
INFY,EQ,27-Nov-18,621.45,625.5,641,625.3,641,638.9,634.88,12285851,7800040731,200385,7331501,59.67
INFY,EQ,28-Nov-18,638.9,640.95,668.7,640,664.5,666.4,659.36,17719890,11683706177,310146,10672554,60.23
INFY,EQ,29-Nov-18,666.4,671,674.9,658.8,665,661.05,667.03,13399070,8937609219,170549,7390099,55.15
INFY,EQ,30-Nov-18,661.05,661,672,660.95,670,667.45,667.52,10445773,6972740710,118396,6667707,63.83
INFY,EQ,03-Dec-18,667.45,673.15,679,665.95,672.45,670.35,670.58,8260890,5539597359,103845,6137214,74.29
